BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CEDS,MKT LAB,,,MKT413,MKT413,,,BREAK TIME,MKT412,MKT412,,,TMCSPORT,
CHAPEL,CHAPEL,SERVICE,SERVICE,"DLD111: 300L CMSS,CLD S,COE,CST & DEPTS OF BLD,ESM & ALL200L OF SNAS","DLD111: 300L CMSS,CLD S,COE,CST & DEPTS OF BLD,ESM & ALL200L OF SNAS",TMC211,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,200LH,,CHE211,CHE515,,,,BREAK TIME,CHE470,CHE470,,,,
CHE,300LH,,,CHE514,,CHE313/33 3,CHE313/33 3,BREAK TIME,CHE319/33 5,CHE319/33 5,,,,
,,,,,,,,,,,,,,
CHE,400LH,CHE417,CHE417,CHE413/43 3,CHE413/43 3,CHE411/43 2,CHE411/43 2,BREAK TIME,CHE516,,,,,
,,,,,,,,,,,,,,
CHE,500LH,,,CHE530,,CHE512/53 2,CHE532,BREAK TIME,CHE513/CH E533,,,,,
,,,,,,,,,,,,,,
CHE,CENTRE CLASS,,,,,IRL413,,BREAK TIME,FIN413,FIN415,,,,
CLDS/CMSS,A201,PSI211,PSI211,SOC218,SOC218,SOC413,SOC413,BREAK TIME,MAC114,MAC114,ECN417,ECN417,,
CLDS/CMSS,B301,ENG311,ENG311,ECN417,ECN417,ECN413,ECN413,BREAK TIME,MAC317,MAC317,ECN331,ECN331,,
CLDS/CMSS,C301,ENG416,ENG416,POS111,POS111,BUS410,CBS211,BREAK TIME,FIN111,FIN111,,BUS111,,
CLDS/CMSS,C401,,,POS111,POS111,,CBS211,BREAK TIME,FIN111,FIN111,,BUS111,,
CLDS/CMSS,E101,,,POS411,POS411,PSI417,CBS211,BREAK TIME,MAC431,MAC431,,,,
CLDS/CMSS,E201,ENG212,ENG212,PSS/STS41 1,FIN412,,CBS211,BREAK TIME,PSI317,PSI317,SOC317,SOC317,,
,,,,,,,,,,,,,,
CLDS/CMSS,E301,PSI318,PSI318,POS111,POS111,PSI313,POS413,BREAK TIME,IRH212,PSS213,BUS211,BUS211,,
CLDS/CMSS,E401A,,,SOC419,SOC419,ENG312,ENG312,BREAK TIME,PSY311,PSY311,IRL412,IRL412,,
CLDS/CMSS,E401B,,,DSS416,DSS416,IRH411,PSS313/PA D412,BREAK TIME,PRE410,PRE410,ENG115,ENG115,,
,,,,,,,,,,,,,,
CLDS/CMSS,F301,,,POS111,POS111,MKT414,MKT414,BREAK TIME,PSS412,PSS412,SOC217,SOC217,,
CLDS/CMSS,F401,,,IRL212,ACC310,SOC316,SOC316,BREAK TIME,SOC416,SOC416,BUS211,BUS111,,
CLDS/CMSS,G201,PSY114,PSY114,BUS417,BUS417,MAC313,MAC313,BREAK TIME,PSI111,PSI111,BUS310,,,
CLDS/CMSS,G301,,,ENG214,ENG214,PSS/STS41 5,PSS/STS41 5,BREAK TIME,PRE314,PRE314,,BUS111,,
,,,,,,,,,,,,,,
CLDS/CMSS,H301,PSS413,PSS413,MAC212,MAC212,ACC317,ACC317,BREAK TIME,FIN111,FIN111,,,,
CLDS/CMSS,H401,IRL112,IRL112,FIN418,IRL211,FIN316,FIN316,BREAK TIME,ECN215,ECN215,ACC317,ACC314,,
CLDS/CMSS,LANG LAB,,,,,,,BREAK TIME,,,,,,
CLDS/CMSS,MASSCOMM NEWSROOM,,,,,MAC419,MAC419,BREAK TIME,ENG211,ENG211,,TMCSPOR T,TMCSPORT,
,,,,,,,,,,,,,,
CLDS/CMSS,MASSCOMM STUDIO,,,,,MAC316,MAC316,BREAK TIME,MAC319/33 3,MAC319/33 3,PRE316,PRE316,,
,,,,,,,,,,,,,,
CLDS/CMSS,PSY LAB,PSY417,PSY417,PSY210,PSY210,PSY312,PSY312,BREAK TIME,PSY215,PSY215,,,,
CST,BCH LAB,,,BCH436,BCH436,BCH438,BCH438,BREAK TIME,BCH417/43 5,,,,,
,,,,,,,,,,,,,,
CST,BIOLAB,,,BIO333,BIO333,BIO431,BIO431,BREAK TIME,BIO213,BIO213,BIO418,BIO418,,
CST,COMPUTER LAB,,,CSC416,CSC416,CSC318,CSC318,BREAK TIME,CIS215,CIS319,CIS319,ACC413,,
CST,HALL105(PHY LAB),,,,,,,BREAK TIME,PHY339,PHY339,,,,
,,,,,,,,,,,,,,
CST,HALL107,,,,,BLD412,BLD412,BREAK TIME,CSC313,CSC313,CIT312,BUS111,,
CST,HALL108,,,ESM417,ESM417,ESM413,ESM413,BREAK TIME,BIO334,BIO334,,,,
CST,HALL111(CHEM LAB),,,,,CHM436,CHM436,BREAK TIME,CHM455,CHM455,,,,
,,,,,,,,,,,,,,
CST,HALL112,,,CHM313,CHM313,CHM313,CHM313,BREAK TIME,CHM313,CHM313,,,,
CST,HALL201,,,BCH316,BCH316,BLD317,BLD317,BREAK TIME,BIO419,MAT332,MAT332,,,
