BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CEDS,MKT LAB,MKT316,MKT316,MKT414,,,,BREAK TIME,,,,,,
CHAPEL,CHAPEL,TMC511,EDS211,,,,,BREAK TIME,,,,,,
CHE,200LH,DSS413,DSS413,,,,,BREAK TIME,,,,,,
CHE,300LH,MAT314,MAT314,,,CHE317/33 3,CHE317/33 3,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,400LH,,CHE416/43 6,CHE416/43 6,,CHE434,CHE410/41 8,BREAK TIME,CHE413/43 3,CHE413/43 3,,,,
,,,,,,,,,,,,,,
CHE,500LH,,,CHE536,CHE536,CHE517/53 4,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,CENTER CLASS,MAT431,MAT431,,,POS114,POS114,BREAK TIME,,,TMCSPORT,TMCSPORT,TMCSPORT,
,,,,,,,,,,,,,,
CLDS/CMSS,A201,,,MAC113,MAC113,STS414,FIN213,BREAK TIME,,,,,,
CLDS/CMSS,B301,SOC111,SOC111,ACC211,ACC211,ECN313,ECN313,BREAK TIME,,,,,,
CLDS/CMSS,C301,FIN311,FIN311,ACC111,ACC111,IRH212,IRH212,BREAK TIME,,,,,,
CLDS/CMSS,C401,FIN311,FIN311,ACC111,ACC111,IRL411,IRL411,BREAK TIME,,,,,,
CLDS/CMSS,E101,POS215,POS215,ACC111,ACC111,FIN411,FIN411,BREAK TIME,,,,,,
CLDS/CMSS,E201,IRL313,IRL314,ACC111,ACC111,FIN411,FIN411,BREAK TIME,,,,,,
CLDS/CMSS,E301,FIN416,FIN416,MKT414,PSI/PAD41 7,PSI316,PSI316,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CLDS/CMSS,E401A,PSS313/PA D412,PSS313/PA D412,IRL213,IRL213,DSS317,DSS317,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CLDS/CMSS,E401B,,,IRH416,IRH416,IRH415,IRH415,BREAK TIME,,,,,,
CLDS/CMSS,F301,BUS412,BUS412,ENG215,ENG215,BUS416,BUS416,BREAK TIME,,,,,,
CLDS/CMSS,F401,POS413,POS413,DSS417,DSS417,PRE413,PRE413,BREAK TIME,,,,,,
CLDS/CMSS,G201,MAC111,MAC111,MAC410,MAC410,MAC215,MAC215,BREAK TIME,,,,,,
CLDS/CMSS,G301,MAC432,MAC432,POS411,,PSY314,PSY314,BREAK TIME,,,,,,
CLDS/CMSS,H301,ECN315,ECN315,ACC111,ACC111,MAC314,MAC314,BREAK TIME,,,,,,
CLDS/CMSS,H401,FIN213,FIN213,ACC417/43 7,ACC417/43 7,ACC312/33 2,ACC312/33 2,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CLDS/CMSS,LANG LAB,,,,,,,BREAK TIME,,,,,,
CLDS/CMSS,MASSCOMM STUDIO,ENG410,ENG410,ENG414,ENG414,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CLDS/CMSS,PSY LAB,PSY313,PSY313,PSY413,PSY413,PSY414,PSY414,BREAK TIME,,,,,,
CST,BCH LAB,BCH413,BCH413,BCH453,BCH411,BCH411,,BREAK TIME,,,,,,
CST,BIOLAB,BIO313,BIO313,,,BIO117,BIO117,BREAK TIME,,,,,,
CST,CHEMLAB H111,CHM112,,,,,,BREAK TIME,,,,,,
CST,CHEMLAB H112,,,,,,,BREAK TIME,,,,,,
CST,COMPUTER LAB,CSC111,CSC111,CIT413,CIT413,MIS415,MIS415,BREAK TIME,,,,,,
CST,HALL105(PHY LAB),PHY416,PHY416,,,PHY439,PHY439,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,HALL107,CSC111,CSC111,CSC415,CSC431,CSC312,,BREAK TIME,,,,,,
CST,HALL108,CHM334,CHM334,ACC111,ACC111,,,BREAK TIME,,,,,,
CST,HALL201,FIN311,FIN311,BCH216,,MAT319,MAT319,BREAK TIME,,,,,,
CST,HALL202,BLD418,BLD518,MAT417,MAT417,CHM312,CHM317,BREAK TIME,,,,,,
CST,HALL203,IRH315,IRH315,BLD216,BLD216,BLD418,MCB312,BREAK TIME,,,,,,
CST,HALL204,MCB314,MCB315,BLD516,BLD516,MAT412,MAT412,BREAK TIME,,,,,,
CST,HALL213(PHY LAB),PHY433/43 8,PHY433/43 8,PHY432,PHY432,PHY338,PHY338,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,HALL302(PHY LAB),,,PHY435,PHY435,PHY413,PHY413,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,HALL306,ESM418,ESM418,ESM514,ESM514,ESM511,BLD316,BREAK TIME,,,,,,
