BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CEDS,MKT LAB,,,,,,,BREAK TIME,,,,,,
CHAPEL,CHAPEL,CHAPEL,CHAPEL,DLD FOR FINAL YR. STUDS.,DLD FOR FINAL YR. STUDS.,TMC411,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,200LH,,,,,,,BREAK TIME,,,,,,
CHE,300LH,,,,,CHE335/31 9,CHE335/31 9,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,400LH,,,CHE415/43 5,CHE415/43 5,,,BREAK TIME,MAT316,MAT217,,,,
,,,,,,,,,,,,,,
CHE,500LH,MAT414,MAT414,MAT113,MAT113,CHE511/531,CHE511/531,BREAK TIME,MAT317,MAT317,,,,
,,,,,,,,,,,,,,
CHE,CENTRE CLASS,MAT333,MAT333,,,,,BREAK TIME,MAT415,,MAT337,,,
CHE,CHE LAB,,,,,,,BREAK TIME,CHE412/43 7,CHE412/43 7,CHE412/43 7,,,
,,,,,,,,,,,,,,
CLDS/CMSS,A201,ACC412,ACC412,SOC212,SOC212,IRL313,IRL313,BREAK TIME,MAC211,MAC211,ACC215,ACC215,,
CLDS/CMSS,B301,ECN316,ECN316,PSY111,PSY111,BUS310,BUS310,BREAK TIME,BUS211,BUS211,ACC414,ACC414,,
CLDS/CMSS,C301,CBS111,CBS111,ECN318,ECN318,ECN319,ECN319,BREAK TIME,POS112,POS112,,,,
CLDS/CMSS,C401,CBS111,CBS111,BUS314,BUS314,MKT211,MKT211,BREAK TIME,HMD111,PSI317,ECN214,ECN214,,
CLDS/CMSS,E101,SOC314,SOC314,CBS211,CBS211,PSS211,PSS211,BREAK TIME,BUS211,BUS211,FIN413,FIN413,,
CLDS/CMSS,E201,MAC214,MAC214,CBS211,CBS211,POS311,POS311,BREAK TIME,ECN314,ECN314,PSS411,PSS411,,
CLDS/CMSS,E301,SOC215,SOC215,CBS211,CBS211,ECN213,ECN213,BREAK TIME,IRH319,IRH319,ENG311,ENG311,,
CLDS/CMSS,E401A,SOC415,SOC415,SOC311,SOC311,SOC315,SOC315,BREAK TIME,BUS211,BUS211,ENG316,ENG316,,
CLDS/CMSS,E401B,SOC112,SOC112,DSS318,DSS318,DSS411,DSS411,BREAK TIME,IRL212,IRL212,BUS418,BUS418,,
CLDS/CMSS,F301,CBS111,CBS111,CBS211,CBS211,ACC317,ACC317,BREAK TIME,BUS415,BUS415,BUS313,BUS313,,
CLDS/CMSS,F401,PRE315,PRE315,PRE312,PRE312,PSY310,PSY310,BREAK TIME,FIN417,FIN417,POS412,ACC314,,
CLDS/CMSS,G201,CBS111,CBS111,PSI212,PSI212,MKT211,MKT211,BREAK TIME,PSI411,PSI411,BUS313,BUS313,,
CLDS/CMSS,G301,CBS111,CBS111,ACC114,ACC114,SOC113,SOC113,BREAK TIME,PSS/STS41 5,ENG112,ENG112,FRE332,,
,,,,,,,,,,,,,,
CLDS/CMSS,H301,CBS111,CBS111,IRL311,IRL311,MAC230,MAC230,BREAK TIME,ECN415,ECN415,BUS313,BUS313,,
CLDS/CMSS,H401,MAC116,MAC116,MAC115,MAC115,PSS/STS31 2,PSS/STS31 2,BREAK TIME,ACC417/43 7,ACC111,IRL314,IRL314,,
,,,,,,,,,,,,,,
CLDS/CMSS,LANG LAB,,,,,FRE116,FRE116,BREAK TIME,,,,,,
CLDS/CMSS,MASSCOMM STUDIO,,,MAC312,MAC312,PRE311,PRE311,BREAK TIME,ENG417,ENG417,MAC415,MAC415,,
,,,,,,,,,,,,,,
CLDS/CMSS,PSY LAB,,,PSY211,PSY211,PSY412,PSY412,BREAK TIME,PSY218,PSY218,,,,
CST,ARGUS LAB,ESM431,ESM431,,,,,BREAK TIME,,,,,,
CST,BCH LAB,BCH412/43 2,BCH412/43 2,BCH414,BCH414,,BCH318,BREAK TIME,BCH318,BCH318,,,,
