BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7p,7pm_8pm,
CEDS,MKT LAB,,MKT315,MKT315,MKT415,MKT415,,BREAK TIME,,,,,,
CHAPEL,CHAPEL,TMC311,,EDS111,,,,BREAK TIME,,,,BIBLE STUDY AND CELL FELLOWS HIP,BIBLE,
,,,,,,,,,,,,,STUDY,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,AND CELL,
,,,,,,,,,,,,,FELLOWSH,
,,,,,,,,,,,,,IP,
,,,,,,,,,,,,,,
CHE,200LH,,CHE310/C HE331,CHE211,CHE211,MAT414,,BREAK TIME,CHE212,CHE212,,,,
,,,,,,,,,,,,,,
CHE,300LH,CHE431,CHE431,CHE315,,CHE313/33 3,CHE313/33 3,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CHE,400LH,CHE417,CHE411/43 2,CHM496,CHM496,CHE410/41 8,CHE410/41 8,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CHE,500LH,MAT432,MAT432,CHE534/51 7,CHE534/51 7,CHE511/53 2,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CHE,CENTRE CLASS,,,BLD213,BLD213,MAT337,MAT337,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CLDS/CMSS,A201,PSY415,PSY415,PSI315,PSI315,PSI213,PSI213,BREAK TIME,MAC112,MAC112,,,,
CLDS/CMSS,B301,ACC416,ACC416,ACC212,ACC212,ECN414,ECN414,BREAK TIME,BUS111,BUS111,ECN111,,,
CLDS/CMSS,C301,ECN216,ECN216,ENG115,ENG115,ECN312,ECN312,BREAK TIME,BUS111,BUS111,ECN111,,,
CLDS/CMSS,C401,ENG412,ENG412,PRE311,PRE411,ENG411,ACC411,BREAK TIME,ENG415,ENG415,MAC117,,,
CLDS/CMSS,CEDS,ENG115,ENG115,ENG411,ENG411,ENG21,ENG210,BREAK TIME,EDS,EDS,,BIBLE,BIBLE,
,BUILDING,,,,,,,,PRACTICAL,PRACTICAL,,STUDY,STUDY,
,,,,,,,,,,,,,,
,,,,,,,,,FOR 300L,FOR 300L,,AND,AND CELL,
,,,,,,,,,,,,,,
,,,,,,,,,",400L,500L",",400L,500L",,CELL,FELLOWSH,
,,,,,,,,,STUDS.,STUDS.,,FELLOWS,IP,
